,0
0,0.15305929
1,0.12247592
2,0.031430937
3,0.16396207
4,0.048968814
5,0.21089287
6,0.14338744
7,0.16858625
8,0.12867308
9,0.26943678
10,0.08886404
11,0.46367922
12,0.14148301
13,0.11242482
14,0.0130854715
15,0.03455
16,0.0050453395
17,0.29042155
18,0.300584
19,0.16306666
20,0.24820448
21,0.085114464
22,0.15168224
23,0.24453793
24,0.07528673
25,0.02359218
26,0.34975192
27,0.039878234
28,0.37057132
29,0.2542775
30,0.32778615
31,0.053130038
32,0.16883147
33,0.27375126
34,0.0813021
35,0.032015674
36,0.0034005884
37,0.2796323
38,0.09320675
39,0.35851356
40,0.038325705
41,0.32736954
42,0.056759857
43,0.3315912
44,0.23782068
45,0.26948485
46,0.32079163
47,0.110501945
48,0.06481985
49,0.19137573
50,0.39092493
51,0.10390462
52,0.22135477
53,0.33385324
54,0.26482704
55,0.021587538
56,0.018268364
57,0.2314054
58,0.38646358
59,0.301296
60,0.2469176
61,0.112560526
62,0.027088283
63,0.13676824
64,0.005498197
65,0.029959682
66,0.37559244
67,0.053743906
68,0.32913652
69,0.088565394
70,0.04513826
71,0.20864893
72,0.38431057
73,0.080870464
74,0.15385452
75,0.1669381
76,0.007037686
77,0.14721833
78,0.4034875
79,0.15047365
80,0.11235434
81,0.13511807
82,0.4151918
83,0.16279672
84,0.0175068
85,0.19652754
86,0.004221387
87,0.1575897
88,0.053420093
89,0.26432166
90,0.22465226
91,0.06741887
92,0.39617208
93,0.17386217
94,0.27292255
95,0.33291593
96,0.27417892
97,0.22663166
98,0.34706226
99,0.32538885
100,0.30022272
101,0.4341304
102,0.18516082
103,0.23453268
104,0.31106284
105,0.40894523
106,0.2704245
107,0.03863709
108,0.14820085
109,0.085622564
110,0.17402849
111,0.112988725
112,0.17225134
113,0.13259476
114,0.35990727
115,0.11756194
116,0.32536405
117,0.1999646
118,0.007852603
119,0.15223563
120,0.13926089
121,0.05827422
122,0.3436029
123,0.08637537
124,0.27312097
125,0.003587976
126,0.34749275
127,0.059147697
128,0.34153885
129,0.093696386
130,0.2964506
131,0.17074457
132,0.37331405
133,0.07587139
134,0.17236173
135,0.3313478
136,0.048460208
137,0.02002646
138,0.070418745
139,0.36340767
140,0.293768
141,0.34117472
142,0.0067541096
143,0.2296137
144,0.24538511
145,0.24394315
146,0.3921263
147,0.22367182
148,0.096559346
149,0.40874383
150,0.31739303
151,0.14514643
152,0.37855074
153,0.3708333
154,0.19192788
155,0.35339716
156,0.006893087
157,0.32407498
158,0.32289213
159,0.07932254
160,0.31018215
161,0.19654134
162,0.10021964
163,0.45018995
164,0.3173245
165,0.22308487
166,0.32554325
167,0.054465003
168,0.3474222
169,0.19867022
170,0.23126948
171,0.14563899
172,0.024103178
173,0.1686115
174,0.021740371
175,0.40202042
176,0.2500802
177,0.13678162
178,0.0038810745
179,0.13843645
180,0.16665421
181,0.3193504
182,0.14294492
183,0.02276552
184,0.42052776
185,0.32426107
186,0.13899961
187,0.23204523
188,0.21067558
189,0.16358851
190,0.17167696
191,0.14302073
192,0.27874944
193,0.027168218
194,0.06554793
195,0.3827113
196,0.26818696
197,0.16610065
198,0.40221855
199,0.2883365
200,0.08235261
201,0.21055293
202,0.044960424
203,0.3712156
204,0.38863623
205,0.3849931
206,0.12966949
207,0.27839005
208,0.063823454
209,0.018667817
210,0.16960521
211,0.1384497
212,0.42681223
213,0.19845551
214,0.008282151
215,0.20360023
216,0.29406473
217,0.35878608
218,0.039547876
219,0.22421044
220,0.158318
221,0.35398284
222,0.07808223
223,0.3008997
224,0.31572834
225,0.11156988
226,0.015564993
227,0.19871157
228,0.22766955
229,0.032472253
230,0.008969838
231,0.0033291467
232,0.12001598
233,0.02797093
234,0.21184243
235,0.34111154
236,0.010468384
237,0.14373066
238,0.1882951
239,0.0724186
240,0.059712738
241,0.0070105493
242,0.1457299
243,0.020938884
244,0.2964068
245,0.19938476
246,0.41064587
247,0.34275866
248,0.15524746
249,0.18762279
250,0.021219624
251,0.3143373
252,0.035883054
253,0.1896357
254,0.08774932
255,0.25811478
256,0.10562256
257,0.17758492
258,0.2560692
259,0.38117316
260,0.33765844
261,0.003978297
262,0.24749742
263,0.063251674
264,0.0918169
265,0.29184788
266,0.22059442
267,0.16356324
268,0.238787
269,0.23732184
270,0.3565067
271,0.37221128
272,0.33053795
273,0.08401861
274,0.37051693
275,0.21958561
276,0.24260345
277,0.052223988
278,0.29019198
279,0.3533791
280,0.17982987
281,0.20466484
282,0.19701254
283,0.07747005
284,0.10581553
285,0.39388466
286,0.055550322
287,0.33553123
288,0.12509437
289,0.25202182
290,0.35910663
291,0.1811881
292,0.0045178477
293,0.07543464
294,0.008187307
295,0.283578
296,0.26533678
297,0.24376309
298,0.29742795
299,0.32733253
300,0.017715998
301,0.09287132
302,0.2173548
303,0.045064963
304,0.2767076
305,0.21197923
306,0.35945645
307,0.11843765
308,0.11148122
309,0.02306209
310,0.050522797
311,0.4000971
312,0.009154873
313,0.36610183
314,0.21378672
315,0.014092887
316,0.21171162
317,0.038775396
318,0.23630302
319,0.039069314
320,0.09191033
321,0.43112713
322,0.04794512
323,0.15431155
324,0.06310692
325,0.06431508
326,0.016310945
327,0.32508054
328,0.1797505
329,0.0728827
330,0.18144469
331,0.35540015
332,0.1681495
333,0.08260395
334,0.1910113
335,0.049918074
336,0.18756755
337,0.17015068
338,0.33119193
339,0.19101052
340,0.25783098
341,0.19587919
342,0.29864714
343,0.32057422
344,0.39552742
345,0.21621662
346,0.46486187
347,0.34590736
348,0.2793145
349,0.46591288
350,0.35565874
351,0.20565395
352,0.10425088
353,0.11210325
354,0.20214804
355,0.18093246
356,0.26757115
357,0.26750988
358,0.37956548
359,0.20989214
360,0.12773202
361,0.28515306
362,0.13271174
363,0.03425708
364,0.40136155
365,0.01509897
366,0.2156273
367,0.25916594
368,0.13963711
369,0.30412745
370,0.13249627
371,0.44845715
372,0.086157806
373,0.30679485
374,0.3530515
375,0.2928212
376,0.17617214
377,0.2788311
378,0.24820001
379,0.31619868
380,0.22963172
381,0.39702046
382,0.24173121
383,0.020346245
384,0.3423881
385,0.33469418
386,0.3001376
387,0.09916732
388,0.125926
389,0.15440147
390,0.29937285
391,0.31692567
392,0.28566447
393,0.16046017
394,0.20097928
395,0.33731666
396,0.42661196
397,0.3739304
398,0.120788634
399,0.21919695
400,0.24628721
401,0.12526707
402,0.059458293
403,0.30939567
404,0.23165993
405,0.21841116
406,0.14840692
407,0.2908605
408,0.32245287
409,0.45270628
410,0.39512172
411,0.17381896
412,0.20665419
413,0.30916604
414,0.06189241
415,0.090795025
416,0.081773594
417,0.037621707
418,0.027377993
419,0.056708056
420,0.19542104
421,0.13031961
422,0.23648064
423,0.2184501
424,0.005945092
425,0.12960051
426,0.27628183
427,0.37787503
428,0.27796447
429,0.22306655
430,0.15467593
431,0.23485623
432,0.252593
433,0.1483938
434,0.1811574
435,0.20339209
436,0.08009837
437,0.02956828
438,0.36040747
439,0.4013622
440,0.08027431
441,0.30634868
442,0.3710303
443,0.07787961
444,0.0059023127
445,0.54931474
446,0.3424059
447,0.3246432
448,0.3989949
449,0.29907578
450,0.2865725
451,0.20610934
452,0.1477225
453,0.08036694
454,0.18512532
455,0.126429
456,0.0748442
457,0.04007372
458,0.31847742
459,0.33479634
460,0.018008612
461,0.18694866
462,0.14620496
463,0.2752711
464,0.039002094
465,0.11883783
466,0.41618848
467,0.1393313
468,0.016346745
469,0.02965555
470,0.15334667
471,0.09561515
472,0.3670465
473,0.13095653
474,0.021757888
475,0.06543362
476,0.15871562
477,0.105848074
478,0.3241614
479,0.28021038
480,0.015801126
481,0.15095235
482,0.32655284
483,0.06896962
484,0.35489547
485,0.085702255
486,0.34816852
487,0.19221635
488,0.033903737
489,0.05970948
490,0.20415814
491,0.20352542
492,0.24854577
493,0.24179426
494,0.28348547
495,0.20328286
496,0.18650916
497,0.025083128
498,0.24152753
499,0.11687793
500,0.4384241
501,0.387747
502,0.41693136
503,0.27655602
504,0.3583656
505,0.33522704
506,0.2729215
507,0.342448
508,0.079305194
509,0.4116396
510,0.09909168
511,0.26644844
512,0.017345723
513,0.1928728
514,0.0686221
515,0.0094702365
516,0.24478069
517,0.31295833
518,0.019182269
519,0.00726277
520,0.34449786
521,0.09610617
522,0.331197
523,0.082995154
524,0.1092024
525,0.35555437
526,0.15309393
527,0.20075628
528,0.023017546
529,0.2984258
530,0.15442179
531,0.18184333
532,0.21337186
533,0.19008835
534,0.16355684
535,0.24077934
536,0.16425103
537,0.37548566
538,0.35749158
539,0.15021448
540,0.30831006
541,0.35839382
542,0.029129487
543,0.3578911
544,0.33026567
545,0.095739424
546,0.00771193
547,0.298464
548,0.35069633
549,0.24308334
550,0.42306018
551,0.09600097
552,0.14369278
553,0.07897204
554,0.040605888
555,0.33072504
556,0.036250915
557,0.2707147
558,0.022992473
559,0.26112467
560,0.14936833
561,0.19777907
562,0.272463
563,0.4036306
564,0.3998469
565,0.03267549
566,0.34780988
567,0.34355837
568,0.14467973
569,0.0068678334
570,0.21016297
571,0.05403116
572,0.037647113
573,0.30187422
574,0.3346223
575,0.43746248
576,0.005916752
577,0.308012
578,0.39052132
579,0.3108013
580,0.12331517
581,0.1519888
582,0.09744784
583,0.017867353
584,0.4385119
585,0.006403338
586,0.04428228
587,0.19813888
588,0.0051533785
589,0.36275706
590,0.009380282
591,0.09787573
592,0.07658039
593,0.3107156
594,0.24215244
595,0.19178452
